freq,nrg_bal,siec,unit,geo,time,value
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Latvia,2018-01-01,4024.431
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Latvia,2019-01-01,3924.309
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Latvia,2020-01-01,3797.762
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Latvia,2021-01-01,3980.096
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Latvia,2022-01-01,3822.636
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Latvia,2023-01-01,3765.623
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Latvia,2024-01-01,3737.501
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Lithuania,2013-01-01,4712.305
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Lithuania,2014-01-01,4800.537
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Lithuania,2015-01-01,4779.51
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Lithuania,2016-01-01,5003.215
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Lithuania,2017-01-01,5239.082
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Lithuania,2018-01-01,5466.581
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Lithuania,2019-01-01,5460.021
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Lithuania,2020-01-01,5284.212
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Lithuania,2021-01-01,5662.351
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Lithuania,2022-01-01,5376.688
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Lithuania,2023-01-01,5324.074
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Lithuania,2024-01-01,5628.651
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Luxembourg,2013-01-01,3753.122
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Luxembourg,2014-01-01,3596.761
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Luxembourg,2015-01-01,3534.819
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Luxembourg,2016-01-01,3533.953
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Luxembourg,2017-01-01,3608.658
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Luxembourg,2018-01-01,3738.069
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Luxembourg,2019-01-01,3792.055
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Luxembourg,2020-01-01,3269.667
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Luxembourg,2021-01-01,3439.394
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Luxembourg,2022-01-01,3026.663
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Luxembourg,2023-01-01,2922.882
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Luxembourg,2024-01-01,2908.057
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Hungary,2013-01-01,16255.431
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Hungary,2014-01-01,15775.708
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Hungary,2015-01-01,16829.628
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Hungary,2016-01-01,17274.354
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Hungary,2017-01-01,17874.513
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Hungary,2018-01-01,17849.381
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Hungary,2019-01-01,17968.801
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Hungary,2020-01-01,17606.514
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Hungary,2021-01-01,18793.605
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Hungary,2022-01-01,17944.792
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Hungary,2023-01-01,16541.255
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Hungary,2024-01-01,16607.21
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Malta,2013-01-01,421.114
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Malta,2014-01-01,435.716
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Malta,2015-01-01,462.343
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Malta,2016-01-01,458.759
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Malta,2017-01-01,492.38
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Malta,2018-01-01,514.389
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Malta,2019-01-01,545.428
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Malta,2020-01-01,500.753
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Malta,2021-01-01,526.291
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Malta,2022-01-01,593.59
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Malta,2023-01-01,580.011
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Malta,2024-01-01,602.29
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Netherlands,2013-01-01,46898.823
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Netherlands,2014-01-01,42352.359
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Netherlands,2015-01-01,43375.392
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Netherlands,2016-01-01,44338.017
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Netherlands,2017-01-01,44529.147
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Netherlands,2018-01-01,44855.586
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Netherlands,2019-01-01,44071.203
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Netherlands,2020-01-01,41865.153
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Netherlands,2021-01-01,43258.235
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Netherlands,2022-01-01,38955.235
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Netherlands,2023-01-01,38048.94
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Netherlands,2024-01-01,38793.368
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Austria,2013-01-01,25801.476
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Austria,2014-01-01,24760.998
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Austria,2015-01-01,25475.009
